year,disc,ring.width_mm
1978,H8B,0.073
1979,H8B,0.082
1980,H8B,0.147
1981,H8B,0.005
1982,H8B,0.123
1983,H8B,0.155
1984,H8B,0.117
1985,H8B,0.141
1986,H8B,0.208
1987,H8B,0.066
1988,H8B,0.137
1989,H8B,0.126
1990,H8B,0.167
1991,H8B,0.127
1992,H8B,0.174
1993,H8B,0.219
1994,H8B,0.104
1995,H8B,0.124
1996,H8B,0.163
1997,H8B,0.11
1998,H8B,0.043
1999,H8B,0.057
2000,H8B,0.095
2001,H8B,0.032
2002,H8B,0.008
2003,H8B,0.046
2004,H8B,0.039
1932,K10B,0.111
1933,K10B,0.125
1934,K10B,0.138
1935,K10B,0.173
1936,K10B,0.169
1937,K10B,0.188
1938,K10B,0.184
1939,K10B,0.169
1940,K10B,0.144
1941,K10B,0.145
1942,K10B,0.136
1943,K10B,0.105
1944,K10B,0.076
1945,K10B,0.063
1946,K10B,0.094
1947,K10B,0.056
1948,K10B,0.086
1949,K10B,0.102
1950,K10B,0.128
1951,K10B,0.108
1952,K10B,0.1
1953,K10B,0.107
1954,K10B,0.128
1955,K10B,0.148
1956,K10B,0.154
1957,K10B,0.202
1958,K10B,0.258
1959,K10B,0.175
1960,K10B,0.13
1961,K10B,0.096
1962,K10B,0.084
1963,K10B,0.169
1964,K10B,0.228
1965,K10B,0.18
1966,K10B,0.378
1967,K10B,0.299
1968,K10B,0.176
1969,K10B,0.359
1970,K10B,0.314
1971,K10B,0.34
1972,K10B,0.451
1973,K10B,0.151
1974,K10B,0.312
1975,K10B,0.338
1976,K10B,0.046
1977,K10B,0.078
1978,K10B,0.198
1979,K10B,0.194
1980,K10B,0.33
1981,K10B,0.428
1982,K10B,0.342
1983,K10B,0.018
1984,K10B,0.027
1985,K10B,0.065
1986,K10B,0.158
1987,K10B,0.229
1988,K10B,0.381
1989,K10B,0.4
1990,K10B,0.43
1991,K10B,0.404
1992,K10B,0.491
1993,K10B,0.49
1994,K10B,0.499
1995,K10B,0.539
1996,K10B,0.388
1997,K10B,0.282
1998,K10B,0.176
1999,K10B,0.092
2000,K10B,0.023
2001,K10B,0.071
2002,K10B,0.132
2003,K10B,0.104
2004,K10B,0.084
1953,K14B,0.053
1954,K14B,0.127
1955,K14B,0.282
1956,K14B,0.184
1957,K14B,0.265
1958,K14B,0.228
1959,K14B,0.184
1960,K14B,0.181
1961,K14B,0.181
1962,K14B,0.154
1963,K14B,0.192
1964,K14B,0.154
1965,K14B,0.139
1966,K14B,0.154
1967,K14B,0.113
1968,K14B,0.049
1969,K14B,0.086
1970,K14B,0.052
1971,K14B,0.105
1972,K14B,0.147
1973,K14B,0.149
1974,K14B,0.202
1975,K14B,0.201
1976,K14B,0.071
1977,K14B,0.19
1978,K14B,0.229
1979,K14B,0.204
1980,K14B,0.249
1981,K14B,0.099
1982,K14B,0.219
1983,K14B,0.171
1984,K14B,0.005
1985,K14B,0.065
1986,K14B,0.177
1987,K14B,0.223
1988,K14B,0.185
1989,K14B,0.241
1990,K14B,0.014
1991,K14B,0.08
1992,K14B,0.168
1993,K14B,0.156
1994,K14B,0.236
1995,K14B,0.188
1996,K14B,0.158
1997,K14B,0.129
1998,K14B,0.128
1999,K14B,0.059
2000,K14B,0.089
2001,K14B,0.097
2002,K14B,0.073
2003,K14B,0.06
2004,K14B,0.071
2005,K14B,0.066
2006,K14B,0.04
1903,K17B,0.072
1904,K17B,0.04
1905,K17B,0.033
1906,K17B,0.056
1907,K17B,0.076
1908,K17B,0.072
1909,K17B,0.058
1910,K17B,0.064
1911,K17B,0.048
1912,K17B,0.052
1913,K17B,0.059
1914,K17B,0.129
1915,K17B,0.133
1916,K17B,0.053
1917,K17B,0.136
1918,K17B,0.152
1919,K17B,0.122
1920,K17B,0.038
1921,K17B,0.094
1922,K17B,0.088
1923,K17B,0.061
1924,K17B,0.061
1925,K17B,0.012
1926,K17B,0.012
1927,K17B,0.03
1928,K17B,0.048
1929,K17B,0.081
1930,K17B,0.07
1931,K17B,0.063
1932,K17B,0.035
1933,K17B,0.007
1934,K17B,0.006
1935,K17B,0.009
1936,K17B,0.038
1937,K17B,0.046
1938,K17B,0.024
1939,K17B,0.024
1940,K17B,0.063
1941,K17B,0.008
1942,K17B,0.034
1943,K17B,0.038
1944,K17B,0.041
1945,K17B,0.055
1946,K17B,0.077
1947,K17B,0.022
1948,K17B,0.076
1949,K17B,0.09
1950,K17B,0.079
1951,K17B,0.074
1952,K17B,0.035
1953,K17B,0.043
1954,K17B,0.05
1955,K17B,0.086
1956,K17B,0.083
1957,K17B,0.058
1958,K17B,0.025
1959,K17B,0.056
1960,K17B,0.047
1961,K17B,0.067
1962,K17B,0.085
1963,K17B,0.017
1964,K17B,0.045
1965,K17B,0.042
1966,K17B,0.024
1967,K17B,0.044
1968,K17B,0.071
1969,K17B,0.074
1970,K17B,0.032
1971,K17B,0.054
1972,K17B,0.03
1973,K17B,0.042
1974,K17B,0.044
1975,K17B,0.096
1976,K17B,0.229
1977,K17B,0.327
1978,K17B,0.04
1979,K17B,0.046
1980,K17B,0.058
1981,K17B,0.183
1982,K17B,0.205
1983,K17B,0.224
1984,K17B,0.309
1985,K17B,0.244
1986,K17B,0.318
1987,K17B,0.241
1988,K17B,0.223
1989,K17B,0.011
1990,K17B,0.183
1991,K17B,0.255
1992,K17B,0.274
1993,K17B,0.157
1994,K17B,0.169
1995,K17B,0.215
1996,K17B,0.155
1997,K17B,0.027
1998,K17B,0.158
1999,K17B,0.151
2000,K17B,0.207
2001,K17B,0.015
2002,K17B,0.144
2003,K17B,0.1
2004,K17B,0.08
2005,K17B,0.035
2006,K17B,0.176
1968,K18B,0.199
1969,K18B,0.086
1970,K18B,0.064
1971,K18B,0.17
1972,K18B,0.147
1973,K18B,0.223
1974,K18B,0.047
1975,K18B,0.081
1976,K18B,0.058
1977,K18B,0.033
1978,K18B,0.075
1979,K18B,0.111
1980,K18B,0.151
1981,K18B,0.278
1982,K18B,0.066
1983,K18B,0.107
1984,K18B,0.292
1985,K18B,0.25
1986,K18B,0.228
1987,K18B,0.364
1988,K18B,0.214
1989,K18B,0.211
1990,K18B,0.152
1991,K18B,0.135
1992,K18B,0.112
1993,K18B,0.157
1994,K18B,0.266
1995,K18B,0.285
1996,K18B,0.219
1997,K18B,0.191
1998,K18B,0.157
1999,K18B,0.141
2000,K18B,0.235
2001,K18B,0.322
2002,K18B,0.244
2003,K18B,0.218
2004,K18B,0.123
2005,K18B,0.036
2006,K18B,0.165
1959,K27B,0.225
1960,K27B,0.259
1961,K27B,0.206
1962,K27B,0.148
1963,K27B,0.144
1964,K27B,0.123
1965,K27B,0.114
1966,K27B,0.242
1967,K27B,0.206
1968,K27B,0.104
1969,K27B,0.171
1970,K27B,0.166
1971,K27B,0.178
1972,K27B,0.202
1973,K27B,0.065
1974,K27B,0.108
1975,K27B,0.129
1976,K27B,0.021
1977,K27B,0.088
1978,K27B,0.099
1979,K27B,0.158
1980,K27B,0.118
1981,K27B,0.17
1982,K27B,0.046
1983,K27B,0.059
1984,K27B,0.17
1985,K27B,0.085
1986,K27B,0.145
1987,K27B,0.206
1988,K27B,0.105
1989,K27B,0.051
1990,K27B,0.127
1991,K27B,0.117
1992,K27B,0.095
1993,K27B,0.099
1994,K27B,0.062
1995,K27B,0.175
1996,K27B,0.147
1997,K27B,0.135
1998,K27B,0.095
1999,K27B,0.093
2000,K27B,0.034
2001,K27B,0.203
2002,K27B,0.148
