year,disc,ring.width_mm
1985,L22S,0.207
1986,L22S,0.218
1987,L22S,0.206
1988,L22S,0.174
1989,L22S,0.164
1990,L22S,0.161
1991,L22S,0.209
1992,L22S,0.135
1993,L22S,0.227
1994,L22S,0.221
1995,L22S,0.256
1996,L22S,0.223
1997,L22S,0.283
1998,L22S,0.297
1999,L22S,0.173
2000,L22S,0.096
2001,L22S,0.111
2002,L22S,0.123
2003,L22S,0.172
2004,L22S,0.15
2005,L22S,0.052
2006,L22S,0.083
2007,L22S,0.077
2008,L22S,0.049
2009,L22S,0.061
2010,L22S,0.072
1985,L23S,0.242
1986,L23S,0.257
1987,L23S,0.221
1988,L23S,0.187
1989,L23S,0.174
1990,L23S,0.167
1991,L23S,0.187
1992,L23S,0.21
1993,L23S,0.166
1994,L23S,0.189
1995,L23S,0.354
1996,L23S,0.345
1997,L23S,0.208
1998,L23S,0.326
1999,L23S,0.365
2000,L23S,0.111
2001,L23S,0.01
2002,L23S,0.106
2003,L23S,0.124
2004,L23S,0.078
2005,L23S,0.1
2006,L23S,0.027
2007,L23S,0.05
2008,L23S,0.068
2009,L23S,0.049
2010,L23S,0.022
1980,L24S,0.205
1981,L24S,0.451
1982,L24S,0.379
1983,L24S,0.168
1984,L24S,0.17
1985,L24S,0.275
1986,L24S,0.226
1987,L24S,0.24
1988,L24S,0.094
1989,L24S,0.137
1990,L24S,0.085
1991,L24S,0.08
1992,L24S,0.106
1993,L24S,0.128
1994,L24S,0.082
1995,L24S,0.13
1996,L24S,0.184
1997,L24S,0.122
1998,L24S,0.05
1999,L24S,0.117
2000,L24S,0.101
2001,L24S,0.102
2002,L24S,0.085
2003,L24S,0.01
2004,L24S,0.115
2005,L24S,0.006
2006,L24S,0.031
2007,L24S,0.15
2008,L24S,0.076
2009,L24S,0.088
2010,L24S,0.072
1980,L25S,0.593
1981,L25S,0.348
1982,L25S,0.321
1983,L25S,0.167
1984,L25S,0.216
1985,L25S,0.114
1986,L25S,0.092
1987,L25S,0.212
1988,L25S,0.164
1989,L25S,0.122
1990,L25S,0.059
1991,L25S,0.127
1992,L25S,0.124
1993,L25S,0.252
1994,L25S,0.279
1995,L25S,0.338
1996,L25S,0.195
1997,L25S,0.134
1998,L25S,0.226
1999,L25S,0.131
2000,L25S,0.086
2001,L25S,0.137
2002,L25S,0.173
2003,L25S,0.205
2004,L25S,0.237
2005,L25S,0.042
2006,L25S,0.307
2007,L25S,0.34
2008,L25S,0.276
2009,L25S,0.2
2010,L25S,0.216
1978,SA1S,0.397
1979,SA1S,0.48
1980,SA1S,0.496
1981,SA1S,0.271
1982,SA1S,0.136
1983,SA1S,0.084
1984,SA1S,0.366
1985,SA1S,0.523
1986,SA1S,0.378
1987,SA1S,0.627
1988,SA1S,0.493
1989,SA1S,0.355
1990,SA1S,0.568
1991,SA1S,0.626
1992,SA1S,0.408
1993,SA1S,0.528
1994,SA1S,0.395
1995,SA1S,0.269
1996,SA1S,0.321
1997,SA1S,0.546
1998,SA1S,0.412
1999,SA1S,0.367
2000,SA1S,0.251
2001,SA1S,0.295
2002,SA1S,0.322
2003,SA1S,0.679
2004,SA1S,0.412
2005,SA1S,0.147
2006,SA1S,0.532
2007,SA1S,0.69
2008,SA1S,0.562
2009,SA1S,0.535
2010,SA1S,0.508
1955,SA2S,0.325
1956,SA2S,0.521
1957,SA2S,0.507
1958,SA2S,0.292
1959,SA2S,0.223
1960,SA2S,0.286
1961,SA2S,0.192
1962,SA2S,0.154
1963,SA2S,0.294
1964,SA2S,0.309
1965,SA2S,0.279
1966,SA2S,0.196
1967,SA2S,0.194
1968,SA2S,0.155
1969,SA2S,0.225
1970,SA2S,0.23
1971,SA2S,0.28
1972,SA2S,0.073
1973,SA2S,0.196
1974,SA2S,0.259
1975,SA2S,0.13
1976,SA2S,0.067
1977,SA2S,0.405
1978,SA2S,0.256
1979,SA2S,0.297
1980,SA2S,0.466
1981,SA2S,0.385
1982,SA2S,0.056
1983,SA2S,0.052
1984,SA2S,0.129
1985,SA2S,0.172
1986,SA2S,0.136
1987,SA2S,0.254
1988,SA2S,0.287
1989,SA2S,0.147
1990,SA2S,0.364
1991,SA2S,0.243
1992,SA2S,0.14
1993,SA2S,0.162
1994,SA2S,0.122
1995,SA2S,0.151
1996,SA2S,0.122
1997,SA2S,0.239
1998,SA2S,0.123
1999,SA2S,0.116
2000,SA2S,0.137
2001,SA2S,0.163
2002,SA2S,0.163
2003,SA2S,0.19
2004,SA2S,0.099
2005,SA2S,0.071
2006,SA2S,0.17
2007,SA2S,0.378
2008,SA2S,0.367
2009,SA2S,0.293
2010,SA2S,0.401
1956,SA3S,0.087
1957,SA3S,0.492
1958,SA3S,0.173
1959,SA3S,0.078
1960,SA3S,0.271
1961,SA3S,0.17
1962,SA3S,0.185
1963,SA3S,0.278
1964,SA3S,0.27
1965,SA3S,0.459
1966,SA3S,0.24
1967,SA3S,0.297
1968,SA3S,0.297
1969,SA3S,0.321
1970,SA3S,0.3
1971,SA3S,0.467
1972,SA3S,0.185
1973,SA3S,0.466
1974,SA3S,0.464
1975,SA3S,0.472
1976,SA3S,0.156
1977,SA3S,0.559
1978,SA3S,0.318
1979,SA3S,0.338
1980,SA3S,0.463
1981,SA3S,0.326
1982,SA3S,0.089
1983,SA3S,0.186
1984,SA3S,0.347
1985,SA3S,0.381
1986,SA3S,0.383
1987,SA3S,0.412
1988,SA3S,0.357
1989,SA3S,0.189
1990,SA3S,0.521
1991,SA3S,0.486
1992,SA3S,0.332
1993,SA3S,0.515
1994,SA3S,0.424
1995,SA3S,0.569
1996,SA3S,0.325
1997,SA3S,0.471
1998,SA3S,0.41
1999,SA3S,0.439
2000,SA3S,0.335
2001,SA3S,0.383
2002,SA3S,0.288
2003,SA3S,0.285
2004,SA3S,0.298
2005,SA3S,0.127
2006,SA3S,0.514
2007,SA3S,0.386
2008,SA3S,0.271
2009,SA3S,0.251
2010,SA3S,0.311
1978,SA4S,0.15
1979,SA4S,0.139
1980,SA4S,0.294
1981,SA4S,0.373
1982,SA4S,0.113
1983,SA4S,0.055
1984,SA4S,0.217
1985,SA4S,0.347
1986,SA4S,0.29
1987,SA4S,0.436
1988,SA4S,0.462
1989,SA4S,0.461
1990,SA4S,0.769
1991,SA4S,0.986
1992,SA4S,0.791
1993,SA4S,1.214
1994,SA4S,1.12
1995,SA4S,1.294
1996,SA4S,1.062
1997,SA4S,1.307
1998,SA4S,1.046
1999,SA4S,0.985
2000,SA4S,0.656
2001,SA4S,0.736
2002,SA4S,0.682
2003,SA4S,0.677
2004,SA4S,0.602
2005,SA4S,0.794
2006,SA4S,0.919
2007,SA4S,0.684
2008,SA4S,0.563
2009,SA4S,0.372
2010,SA4S,0.262
1978,SA5S,0.27
1979,SA5S,0.378
1980,SA5S,0.559
1981,SA5S,0.315
1982,SA5S,0.142
1983,SA5S,0.072
1984,SA5S,0.272
1985,SA5S,0.377
1986,SA5S,0.289
1987,SA5S,0.613
1988,SA5S,0.553
1989,SA5S,0.259
1990,SA5S,0.611
1991,SA5S,0.664
1992,SA5S,0.518
1993,SA5S,0.692
1994,SA5S,0.673
1995,SA5S,0.937
1996,SA5S,0.688
1997,SA5S,1.082
1998,SA5S,1.063
1999,SA5S,0.802
2000,SA5S,0.643
2001,SA5S,0.694
2002,SA5S,0.628
2003,SA5S,0.763
2004,SA5S,0.776
2005,SA5S,0.946
2006,SA5S,0.751
2007,SA5S,0.725
2008,SA5S,0.644
2009,SA5S,0.551
2010,SA5S,0.485
1983,T1SF30,0.335
1984,T1SF30,0.261
1985,T1SF30,0.21
1986,T1SF30,0.137
1987,T1SF30,0.114
1988,T1SF30,0.146
1989,T1SF30,0.173
1990,T1SF30,0.129
1991,T1SF30,0.164
1992,T1SF30,0.103
1993,T1SF30,0.148
1994,T1SF30,0.21
1995,T1SF30,0.183
1996,T1SF30,0.101
1997,T1SF30,0.121
1998,T1SF30,0.236
1999,T1SF30,0.13
2000,T1SF30,0.159
2001,T1SF30,0.195
2002,T1SF30,0.18
2003,T1SF30,0.1
2004,T1SF30,0.116
2005,T1SF30,0.042
2006,T1SF30,0.137
2007,T1SF30,0.129
