SITE,SUBSITE,TRTMT,PLOT,YEAR,SPP,STATUS,TISSUE,X,Y,Hit Order,Abundance,Height
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,7,4,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,7,5,NA,1,4
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,7,5,NA,3,
QHI,HE,CTL,1,1999,XXXbareground,NA,NA,7,5,NA,1,
QHI,HE,CTL,1,1999,SALPHL,LIVE,LEAF,7,6,NA,1,1
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,7,6,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,7,7,NA,1,0
QHI,HE,CTL,1,1999,SALPHL,LIVE,LEAF,7,8,NA,1,0
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,7,9,NA,1,0
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,7,9,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,7,10,NA,1,5
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,7,10,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,8,1,NA,1,8
QHI,HE,CTL,1,1999,SALPUL,LIVE,LEAF,8,1,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,8,1,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,8,2,NA,3,11
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,8,2,NA,2,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,8,3,NA,4,5.5
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,8,4,NA,4,5.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,8,4,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,8,5,NA,3,8.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,8,5,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,8,6,NA,1,6
QHI,HE,CTL,1,1999,XXXbareground,NA,NA,8,6,NA,1,
QHI,HE,CTL,1,1999,XXXbareground,NA,NA,8,7,NA,1,0
QHI,HE,CTL,1,1999,XXXbareground,NA,NA,8,8,NA,1,0
QHI,HE,CTL,1,1999,XXXotherlichen,LIVE,LEAF,8,9,NA,1,0
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,8,9,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,8,10,NA,1,0
QHI,HE,CTL,1,1999,FESBAF,LIVE,LEAF,8,10,NA,1,
QHI,HE,CTL,1,1999,PEDLAN,STANDINGDEAD,LEAF,8,10,NA,1,
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,8,10,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,9,1,NA,1,8.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,9,1,NA,1,
QHI,HE,CTL,1,1999,SALPUL,LIVE,LEAF,9,1,NA,2,
QHI,HE,CTL,1,1999,SALPUL,LIVE,STEM,9,1,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,9,2,NA,3,17
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,9,2,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,9,3,NA,2,4.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,9,3,NA,2,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,9,4,NA,1,8
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,9,4,NA,2,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,9,5,NA,3,9.5
QHI,HE,CTL,1,1999,CETCUC,LIVE,LEAF,9,5,NA,1,
