data,year,date,longitude,latitude,vegType,NDVI
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.599393904
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.509283662
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.590611994
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.547405362
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.62819159
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.56825614
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.576778233
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.580099344
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.58077991
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.526785195
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.590267777
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.589811742
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.607946455
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.550043285
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.540644825
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.466501355
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.621413231
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.508616924
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.658632338
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.60526979
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.551710188
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.629117548
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.570038617
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.614430726
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.59125334
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.560740173
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.618170321
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.58774364
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.592658103
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.517349362
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.544404089
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.610731721
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.664933205
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.572916985
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.611533344
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.626030028
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.599369287
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.578539014
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.518816233
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.594386399
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.53069979
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.630851984
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.638628423
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.500267327
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.558793306
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.513148606
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.566128016
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.573875785
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.602935076
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.58003366
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.464031845
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.582602441
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.555960596
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.583263218
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.537660003
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.574718356
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.616326511
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.628148794
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.588036537
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.624967158
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.548013449
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.593081057
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.64653635
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.483705074
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.56049031
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.630730927
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.620993614
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.548443735
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.590970218
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.544337153
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.553185165
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.561807573
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.590141892
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.534493804
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.636365175
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565768421
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.628680408
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.633459866
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565962732
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.569105268
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.62834239
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.608375967
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.576511264
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.581027269
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.574402094
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.545872271
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.688456655
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.530630529
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.572441578
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.658896625
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.579268813
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.52410394
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.549257576
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565578103
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.558448613
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.496521592
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.645226121
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.576484501
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.540109336
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.577334821
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.626438379
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.548026323
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.544195533
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.587198794
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.500641465
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.583995223
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.595798254
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.53941977
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.497730404
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.607836545
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.586633444
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.57504034
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.550218046
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.554872692
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.567664444
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.512262106
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.530545413
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565463603
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.594667256
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.580368876
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.548438132
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.534028709
